"title" "year" "length" "budget"
"Avanti!" 1972 140 2750000
"Avatars" 2001 5 20000
"Avengers, The" 1998 89 60000000
"Aviator, The" 2004 170 116000000
"Awfully Big Adventure, An" 1995 112 4000000
"Ayurveda: Art of Being" 2001 102 300000
"BUtterfield 8" 1960 109 2500000
"Babe" 1995 89 30000000
"Babe: Pig in the City" 1998 97 80000000
"Babel" 1999 95 20000000
"Babes in Arms" 1939 93 748000
"Babes on Broadway" 1941 118 940068
"Baby Blue" 2001 119 2500000
"Baby Boy" 2001 130 16000000
"Baby Face" 1933 71 187000
"Baby Geniuses" 1999 97 13000000
"Baby It's You" 1983 105 3000000
"Baby's Day Out" 1994 99 50000000
"Bacheha-Ye aseman" 1997 89 180000
"Bachelor Father, The" 1931 90 502000
"Bachelor, The" 1999 101 21000000
"Back to God's Country" 1919 73 67000
"Back to the Future" 1985 111 19000000
"Back to the Future Part II" 1989 108 40000000
"Back to the Future Part III" 1990 118 40000000
"Back to the Future... The Ride" 1991 4 40000000
"Bad Boy Bubby" 1993 112 750000
"Bad Boys" 1995 118 23000000
"Bad Boys II" 2003 145 130000000
"Bad Company" 2002 116 70000000
"Bad Dreams" 1988 84 4000000
"Bad Girls from Mars" 1991 86 52000
"Bad Moon" 1996 80 7000000
"Bad Santa" 2003 98 18000000
"Bad Seed, The" 1956 129 1000000
"Bad Taste" 1987 86 150000
"Bad and the Beautiful, The" 1952 118 1558000
"Badge, The" 2002 103 6000000
"Badkonake sefid" 1995 85 150000
"Badlands" 1973 94 500000
"Bait" 2000 119 35000000
"Ballad of Cable Hogue, The" 1970 121 3716946
"Ballad of Jack and Rose, The" 2005 112 1500000
"Ballistic: Ecks vs. Sever" 2002 91 70000000
"Bamboozled" 2000 135 10000000
"Bananas" 1971 82 2000000
"Band Wagon, The" 1953 111 2169120
"Band of the Hand" 1986 109 8700000
"Bandits" 2001 123 80000000
"Banger Sisters, The" 2002 98 10000000
"Bank Robbery, The" 2003 2 1000
"Baptists at Our Barbecue" 2004 92 500000
"Barbarella" 1968 98 9000000
"Barbarian and the Geisha, The" 1958 105 3500000
"Barbarian, The" 1933 83 444399
"Barbarians, The" 1960 84 750000
"Barbarians, The" 1987 87 4000000
"Barbary Coast" 1935 91 778000
"Barbershop" 2002 102 12000000
"Barbershop 2: Back in Business" 2004 106 18000000
"Barcelona" 1994 101 3200000
"Barkleys of Broadway, The" 1949 109 2325420
"Barn Dance, The" 1929 7 5121
"Barney's Great Adventure" 1998 76 15000000
"Barriers" 1998 96 140000
"Barry Lyndon" 1975 184 11000000
"Barton Fink" 1991 116 9000000
"Bashful Bachelor, The" 1942 78 165000
"Basic" 2003 98 50000000
"Basic Instinct" 1992 128 49000000
"Basil" 1998 113 10000000
"Basket Case 2" 1990 90 2500000
"Basket, The" 1999 105 3000000
"Bathing Beauty" 1944 101 2361000
"Batman" 1989 126 35000000
"Batman & Robin" 1997 125 110000000
"Batman Forever" 1995 122 100000000
"Batman Returns" 1992 126 80000000
"Batman: Dead End" 2003 8 30000
"Batoru rowaiaru" 2000 122 4500000
"Batoru rowaiaru II: Rekuiemu" 2003 155 9000000
"Battle Beyond the Stars" 1980 104 2000000
"Battle for the Planet of the Apes" 1973 96 1800000
"Battle of Britain" 1969 151 12000000
"Battle of Shaker Heights, The" 2003 90 1000000
"Battlefield Earth: A Saga of the Year 3000" 2000 119 73000000
"Be Cool" 2005 118 53000000
"Be Good Daniel" 2004 20 4000
"Beach Party" 1963 101 350000
"Beach, The" 2000 119 50000000
"Bean" 1997 90 22000000
"Bean Cake" 2001 12 12000
"Bear, The" 1984 110 221000
"Beast From 20,000 Fathoms, The" 1953 80 210000
"Beast of Yucca Flats, The" 1961 54 34000
"Beast of the City, The" 1932 86 230000
"Beast with a Million Eyes, The" 1956 75 23000
"Beaster" 2004 10 5000
"Beastmaster 2: Through the Portal of Time" 1991 107 6000000
"Beat the Devil" 1953 100 1000000
"Beat the Drum" 2003 114 1500000
"Beat, The" 2003 85 700000
"Beautiful" 2000 112 9000000
"Beautiful Country, The" 2004 137 6000000
"Beautiful Mind, A" 2001 135 60000000
"Beauty in Chaos" 2004 120 30000
"Beavis and Butt-Head Do America" 1996 81 12000000
"Because of Winn-Dixie" 2005 106 14000000
"Beccerra" 2002 30 3000
"Becket" 1964 148 3000000
"Becky Sharp" 1935 67 950000
"Bedazzled" 2000 93 48000000
"Bedknobs and Broomsticks" 1971 139 20000000
"Beer Muscles" 2004 90 5000
"Beetle Juice" 1988 92 15000000
"Before Sunrise" 1995 105 2500000
"Before Sunset" 2004 80 10000000
"Begotten" 1991 78 33000
"Behind Enemy Lines" 2001 106 40000000
"Behold a Pale Horse" 1964 121 3900000
"Being Human" 1993 122 30000000
"Being John Malkovich" 1999 113 13000000
"Being Julia" 2004 104 18000000
"Bela Donna" 1998 111 5500000
"Bela Lugosi Meets a Brooklyn Gorilla" 1952 74 50000
"Bellboy, The" 1960 72 900000
"Belle of New York, The" 1952 82 2606644
"Belle of the Nineties" 1934 73 800000
"Bells Are Ringing" 1960 127 2203123
"Bells of Innocence" 2003 110 2750000
"Belly" 1998 96 10000000
"Belly of the Beast" 2003 91 18000000
"Beloved" 1998 172 53000000
"Below the Belt" 2004 95 1500000
"Ben-Hur" 1925 151 3900000
"Ben-Hur" 1959 214 15000000
"Beneath the Planet of the Apes" 1970 95 3000000
"Beneath the Valley of the Ultra-Vixens" 1979 93 239000
"Benji" 1974 86 500000
"Beowulf" 1999 99 20000000
"Best Foot Forward" 1943 94 1125502
"Best Laid Plans" 1999 92 7000000
"Best Years of Our Lives, The" 1946 172 2100000
"Best in Show" 2000 90 6000000
"Betrayal" 2003 90 750000
"Better Luck Tomorrow" 2002 98 250000
"Better Place, A" 1997 87 100000
"Better Than Sex" 2002 92 300000
"Bettie Page: Dark Angel" 2004 90 50000
"Beverly Hills Cop" 1984 105 15000000
"Beverly Hills Cop II" 1987 100 20000000
"Beverly Hills Cop III" 1994 104 50000000
"Beyond Atlantis" 1973 91 200000
"Beyond Borders" 2003 127 35000000
"Beyond Expectations" 1998 94 60000
"Beyond Rangoon" 1995 100 23000000
"Beyond Re-Animator" 2003 96 3000000
"Beyond the Mat" 1999 108 500000
"Beyond the Pale" 1999 96 350000
"Beyond the Sea" 2004 118 24000000
"Beyond the Time Barrier" 1960 75 125000
"Beyond the Valley of the Dolls" 1970 111 900000
"Bible!" 1974 84 35000
"Bible, The" 1966 174 18000000
"Bicentennial Man" 1999 132 100000000
"Big" 1988 104 18000000
"Big Bounce, The" 2004 88 50000000
"Big Brass Ring, The" 1999 104 7000000
"Big Bully" 1996 90 15000000
"Big Daddy" 1999 93 34200000
"Big Doll House, The" 1971 95 125000
"Big Fat Liar" 2002 88 15000000
"Big Fish" 2003 125 70000000
"Big Fisherman, The" 1959 180 4000000
"Big Hit, The" 1998 91 13000000
"Big Jim McLain" 1952 90 826000
"Big Lebowski, The" 1998 117 15000000
"Big Momma's House" 2000 98 30000000
"Big Parade, The" 1925 126 245000
"Big Picture, The" 1989 100 5000000
"Big Snatch, The" 1968 77 11000
"Big Tease, The" 1999 86 4000000
"Big Trouble" 2002 85 40000000
"Big Trouble in Little China" 1986 99 25000000
"Big Wednesday" 1978 120 11000000
"Bigger Than the Sky" 2005 106 750000
"Bijou" 1972 77 22000
"Bikini Beach" 1964 99 600000
"Bill & Ted's Bogus Journey" 1991 93 20000000
"Bill & Ted's Excellent Adventure" 1989 90 10000000
"Bill of Divorcement, A" 1932 70 300000
"Billy Elliot" 2000 110 5000000
"Billy Jack" 1971 114 800000
"Bingo" 1991 89 10000000
"Bingo Bus, A" 2004 30 4000
"Biohazard" 1984 84 250000
"Bird" 1988 161 9000000
"Birds, The" 1963 119 2500000
"Birdy in the Cage" 2003 9 2000
"Birth" 2004 100 20000000
"Birth of a Nation, The" 1915 125 110000
"Birth of the Blues" 1941 87 857283
"Birthday Girl" 2001 93 13000000
"Bitter Old Man" 2003 7 2000
"Black Canyon" 2004 25 3000
"Black Cat, The" 1934 65 95745
"Black Cauldron, The" 1985 80 44000000
"Black Gold" 1947 90 450000
"Black Gulch" 2003 15 55000
"Black Hawk Down" 2001 142 90000000
"Black Hills" 1948 60 414000
"Black Hole, The" 1979 98 18500000
"Black Knight" 2001 95 50000000
"Black Legion" 1937 83 235000
"Black Rain" 1989 125 14000000
"Black Room, The" 1984 87 250000
"Black Sleep, The" 1956 82 225000
"Black Snake" 1973 82 300000
"Black Stallion, The" 1979 118 2700000
"Black and White" 1999 98 10000000
"Black-Eyed Susan" 2004 105 50000
"Blacktop" 2000 100 3500000
"Blackwater Elegy" 2003 19 40000
"Blade" 1998 110 45000000
"Blade II" 2002 108 55000000
"Blade Runner" 1982 117 28000000
"Blade: Trinity" 2004 124 65000000
"Blair Witch Mountain Project, The" 2002 12 7000
"Blair Witch Project, The" 1999 86 35000
"Blanche Fury" 1947 90 1500000
"Blast from the Past" 1999 112 35000000
"Blazing Saddles" 1974 93 2600000
"Bless the Child" 2000 107 40000000
"Blind Horizon" 2003 99 5100000
"Blind Husbands" 1919 68 125000
"Blink" 1994 106 11000000
"Blitz" 2002 28 5000
"Blob, The" 1958 82 240000
"Blob, The" 1988 95 9000000
"Blondie of the Follies" 1932 91 602620
"Blood & Guts" 1978 94 700000
"Blood Alley" 1955 115 2000000
"Blood Feast" 1963 58 24500
"Blood Money" 1933 65 238591
"Blood Shot" 2002 28 35000
"Blood Work" 2002 110 50000000
"Blood and Wine" 1996 101 26000000
"Blood of Jesus, The" 1941 68 5000
"Blood of the Beast" 2003 74 2000
"Blood of the Samurai" 2001 75 2000
"Blood, Guts, Bullets and Octane" 1998 87 7300
"Bloodletting" 1997 89 10000
"Bloodline" 1979 116 12000000
"Bloodsucking Pharaohs in Pittsburgh" 1991 89 250000
"Bloody Brood, The" 1959 80 80000
"Bloody Sunday" 2002 107 5000000
"Blotter" 2004 20 15000
"Blow" 2001 124 30000000
"Blow Out" 1981 108 18000000
"Blowing Wild" 1953 90 1000000
"Blowup" 1966 111 1800000
"Blue Bird, The" 1976 99 12000000
"Blue Citrus Hearts" 2003 115 3000
"Blue Crush" 2002 104 30000000
"Blue Hill Avenue" 2001 120 1200000
"Blue Lagoon, The" 1980 104 4500000
"Blue Moon" 1998 90 1000
"Blue Skies" 1946 104 3000000
"Blue Streak" 1999 93 36000000
"Blue Velvet" 1986 120 6000000
"Blue in Green" 2005 91 50000
"Blue in the Face" 1995 83 2000000
"Bluefish" 2003 24 7000
"Blues Brothers 2000" 1998 123 28000000
"Blues Brothers, The" 1980 148 27000000
"Blues Lahofesh Hagadol" 1987 101 350000
"Boat Trip" 2002 97 20000000
"Bob & Carol & Ted & Alice" 1969 101 2000000
"Body Double" 1984 114 10000000
"Body Parts" 1991 88 10000000
"Body of Evidence" 1993 102 30000000
"Body of Influence 2" 1996 87 1200000
"Bogus" 1996 110 32000000
"Boiler Room" 2000 118 9000000
"Bold Caballero, The" 1936 67 100000
"Bombshell" 1933 96 344000
"Bon voyage" 2003 115 20000000
"Bone Collector, The" 1999 118 48000000
"Bone Snatcher, The" 2003 96 6000000
"Bones" 2001 96 16000000
"Bonfire of the Vanities, The" 1990 125 47000000
"Bonnie and Clyde" 1967 111 2500000
"Bono" 2004 97 250000
"Boogens, The" 1982 95 600000
"Boogeyman" 2005 89 20000000
"Boogie Nights" 1997 156 15000000
"Book That Wrote Itself, The" 1999 71 25000
"Book and the Rose, The" 2001 29 40000
"Book of Life, The" 1998 63 350000
"Book of Mormon Movie, Volume 1: The Journey, The" 2003 120 2000000
"Book of Shadows: Blair Witch 2" 2000 90 15000000
"Boom" 1968 110 10000000
"Boom Town" 1940 119 2000000
"Boomerang" 1992 118 42000000
"Boot, Das" 1981 216 14000000
"Born Losers, The" 1967 113 360000
"Born on the Fourth of July" 1989 145 14000000
"Born to Be Bad" 1934 62 252238
"Borrowers, The" 1997 89 29000000
"Bossu, Le" 1997 128 30000000
"Bottle Rocket" 1996 92 7000000
"Bottle and the Throttle, The" 1968 10 1000
"Bottomfeeders" 2001 92 500000
"Bounce" 2000 106 35000000
"Bound" 1996 109 4500000
"Bound by Honor" 1993 190 35000000
"Bourne Identity, The" 2002 119 75000000
"Bourne Supremacy, The" 2004 108 75000000
"Bowery, The" 1933 92 421496
"Bowfinger" 1999 97 55000000
"Bowling for Columbine" 2002 120 4000000
"Boxcar Bertha" 1972 92 600000
"Boxed" 2002 80 500000
"Boxers and Ballerinas" 2004 90 85000
"Boy s tenyu" 2005 132 3500000
"Boy-Next-Door" 2004 17 50000
"Boys Beware" 1961 10 1000
"Boys Don't Cry" 1999 118 2000000
"Boys Next Door, The" 1986 90 5000000
"Boys Night Out" 1996 34 30000
"Boys and Girls" 2000 94 16000000
"Boys from Brazil, The" 1978 123 12000000
"Boys in the Band, The" 1970 118 5500000
"Boys in the Sand" 1971 90 8000
"Boys on the Side" 1995 115 21000000
"Boyz n the Hood" 1991 107 6000000
"Brady Bunch Movie, The" 1995 90 12000000
"Brain Eaters, The" 1958 60 30000
"Brain That Wouldn't Die, The" 1962 82 62000
"Brain from Planet Arous, The" 1957 70 58000
"Braindead" 1992 97 3000000
"Brainstorm" 1983 106 15000000
"Brat 2" 2000 122 1500000
"Brat, The" 1931 60 243093
"Braveheart" 1995 177 53000000
"Bravo Two Zero" 1999 115 6500000
"Brazil" 1985 94 15000000
"Bread, My Sweet, The" 2001 105 600000
"Break Up" 1998 100 9000000
"Breakdown" 1997 95 36000000
"Breakfast at Tiffany's" 1961 115 2500000
"Breakfast of Champions" 1999 110 12000000
"Breaking All the Rules" 1985 91 2032000
"Breathing Room" 1996 90 500000
"Breed, The" 2001 91 4000000
"Bride & Prejudice" 2004 122 7000000
"Bride of Chucky" 1998 89 25000000
"Bride of Frankenstein" 1935 75 397000
"Bride of the Wind" 2001 99 12000000
"Bridge Too Far, A" 1977 176 26000000
"Bridge of Dragons" 1999 95 4000000
"Bridge on the River Kwai, The" 1957 161 3000000
"Bridges of Madison County, The" 1995 135 22000000
"Bridget Jones's Diary" 2001 97 26000000
"Bridget Jones: The Edge of Reason" 2004 108 70000000
"Brigadoon" 1954 108 2352625
"Brigham City" 2001 119 1000000
"Bring It On" 2000 98 10000000
"Bring Me the Head of Alfredo Garcia" 1974 112 1500000
"Bringing Down the House" 2003 105 35000000
"Bringing Out the Dead" 1999 121 32000000
"Bringing Rain" 2003 82 150000
"Broadcast 23" 2005 7 2500
"Broadway Bad" 1933 61 239308
"Broadway Danny Rose" 1984 84 8000000
"Broadway Melody, The" 1929 101 379000
"Broken Arrow" 1996 108 65000000
"Broken Blossoms or The Yellow Man and the Girl" 1919 90 88000
"Broken Hearts Club: A Romantic Comedy, The" 2000 94 1000000
"Broken Lullaby" 1932 76 889154
"Broken Vessels" 1998 90 600000
"Bronx Tale, A" 1993 121 22000000
"Brooklyn Bound" 2004 90 70000
"Brother" 2000 114 12000000
"Brother from Another Planet, The" 1984 106 300000
"Brothers McMullen, The" 1995 98 23800
"Brothers in Arms" 2003 68 500000
"Brown Bunny, The" 2003 119 10000000
"Brown Sugar" 2002 109 8000000
"Bruce Almighty" 2003 101 81000000
"Bruce, The" 1996 90 500000
"Bruno" 2000 108 10000000
"Brylcreem Boys, The" 1998 106 6000000
"Bubba Ho-tep" 2002 92 1000000
"Bubble Boy" 2001 84 13000000
