"category","number","question","requires","result","subject","type","vote_id"
"procedural",125,"On the Motion to Table S.Amdt. 359 to S. 254 (School Safety Act of 1999)","1/2","Motion to Table Agreed to","Motion to table Wellstone Amdt. No. 359","On the Motion to Table S.Amdt. 359 to S. 254 (School Safety Act of 1999)","s125-106.1999"
"amendment",126,"On the Amendment S.Amdt. 348 to S. 254 (School Safety Act of 1999)","1/2","Amendment Rejected","Ashcroft Amdt No. 348","On the Amendment","s126-106.1999"
"amendment",127,"On the Amendment S.Amdt. 357 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Sessions Amendment No. 357","On the Amendment","s127-106.1999"
"procedural",128,"On the Motion to Table S.Amdt. 358 to S. 254 (School Safety Act of 1999)","1/2","Motion to Table Agreed to","Motion to table Wellstone Amdt. No. 358 as modified","On the Motion to Table S.Amdt. 358 to S. 254 (School Safety Act of 1999)","s128-106.1999"
"amendment",129,"On the Amendment S.Amdt. 360 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Santorum Amendment No. 360","On the Amendment","s129-106.1999"
"procedural",13,"On the Motion (Daschle motion to proceed to closing arguments.)","1/2","Motion Rejected","Daschle motion to proceed to closing arguments.","On the Motion (Daschle motion to proceed to closing arguments.)","s13-106.1999"
"procedural",130,"On the Motion to Table S.Amdt. 364 to S. 254 (School Safety Act of 1999)","1/2","Motion to Table Agreed to","Motion to table Wellstone Amdt. No. 364","On the Motion to Table S.Amdt. 364 to S. 254 (School Safety Act of 1999)","s130-106.1999"
"amendment",131,"On the Amendment S.Amdt. 365 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","McConnell Amdt. No. 365","On the Amendment","s131-106.1999"
"procedural",132,"On the Motion to Table S.Amdt. 319 to S. 254 (School Safety Act of 1999)","1/2","Motion to Table Agreed to","Motion to table Boxer Amdt. No. 319","On the Motion to Table S.Amdt. 319 to S. 254 (School Safety Act of 1999)","s132-106.1999"
"amendment",133,"On the Amendment S.Amdt. 366 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Smith Amendment No. 366 as modified","On the Amendment","s133-106.1999"
"amendment",134,"On the Amendment S.Amdt. 362 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Lautenberg Amendment No. 362","On the Amendment","s134-106.1999"
"procedural",135,"On the Motion (Motion to waive CBA re: conference to accompany H.R.1141)","3/5","Motion Agreed to","Motion to waive CBA re: conference to accompany H.R.1141","On the Motion to waive CBA re: conference to accompany H.R.1141","s135-106.1999"
"passage",136,"On the Conference Report H.R. 1141","1/2","Conference Report Agreed to","Conference Report to accompany H.R.1141","On the Conference Report","s136-106.1999"
"amendment",137,"On the Amendment S.Amdt. 355 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Frist Amdt. No. 355","On the Amendment","s137-106.1999"
"amendment",138,"On the Amendment S.Amdt. 345 to S. 254 (School Safety Act of 1999)","1/2","Amendment Rejected","Bond amdt no. 345, as modified","On the Amendment","s138-106.1999"
"amendment",139,"On the Amendment S.Amdt. 371 to S. 254 (School Safety Act of 1999)","1/2","Amendment Rejected","Biden Amdt No. 371","On the Amendment","s139-106.1999"
"procedural",14,"On the Motion (White House Counsel - motion on video excerpts from depositions)","1/2","Motion Rejected","White House Counsel - motion on video excerpts from depositions","On the Motion (White House Counsel - motion on video excerpts from depositions)","s14-106.1999"
"passage",140,"On Passage of the Bill S. 254","1/2","Bill Passed","S. 254 as amended","On Passage of the Bill","s140-106.1999"
"amendment",141,"On the Amendment S.Amdt. 384 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Amendment Agreed to","Landrieu amendment No. 384","On the Amendment","s141-106.1999"
"amendment",142,"On the Amendment S.Amdt. 388 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Amendment Agreed to","Roth Amdt. No. 388","On the Amendment","s142-106.1999"
"amendment",143,"On the Amendment S.Amdt. 377 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Amendment Agreed to","Roberts Amdt. No. 377, as modified","On the Amendment","s143-106.1999"
"amendment",144,"On the Amendment S.Amdt. 382 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Amendment Rejected","Wellstone Amdt. No. 382","On the Amendment","s144-106.1999"
"procedural",145,"On the Motion to Table S.Amdt. 383 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Motion to Table Agreed to","Motion to table Specter Amdt. No. 383 as modified","On the Motion to Table S.Amdt. 383 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","s145-106.1999"
"amendment",146,"On the Amendment S.Amdt. 392 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Amendment Rejected","Gramm Amdt. No. 392","On the Amendment","s146-106.1999"
"amendment",147,"On the Amendment S.Amdt. 393 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Amendment Rejected","McCain Amdt. No. 393","On the Amendment","s147-106.1999"
"procedural",148,"On the Motion to Table S.Amdt. 397 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Motion to Table Agreed to","Motion to Table Murray Amdt. No. 397","On the Motion to Table S.Amdt. 397 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","s148-106.1999"
"procedural",149,"On the Motion to Table S.Amdt. 395 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Motion to Table Agreed to","Motion to Table Kerrey Amdt. No. 395","On the Motion to Table S.Amdt. 395 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","s149-106.1999"
"procedural",15,"On the Motion (Lott motion to suspend the rules.)","2/3","Motion Rejected","Lott motion to suspend the rules.","On the Motion (Lott motion to suspend the rules.)","s15-106.1999"
"procedural",150,"On the Motion to Reconsider S.Amdt. 392 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Motion to Reconsider Agreed to","Motion to Reconsider the vote Re: Amdt. No. 392 was not agreed to.","On the Motion to Reconsider S.Amdt. 392 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","s150-106.1999"
"procedural",151,"On the Motion to Table S.Amdt. 406 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Motion to Table Agreed to","Motion to Table Smith Amdt. No. 406","On the Motion to Table S.Amdt. 406 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","s151-106.1999"
"amendment",152,"On the Amendment S.Amdt. 442 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Amendment Agreed to","Kennedy Amdt. No. 442","On the Amendment","s152-106.1999"
"procedural",153,"On the Motion to Table S.Amdt. 443 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","1/2","Motion to Table Agreed to","Motion to Table Feingold Amdt. No. 443","On the Motion to Table S.Amdt. 443 to S. 1059 (National Defense Authorization Act for Fiscal Year 2000)","s153-106.1999"
"passage",154,"On Passage of the Bill S. 1059","1/2","Bill Passed","S.1059 As Amended","On Passage of the Bill","s154-106.1999"
"amendment",155,"On the Amendment S.Amdt. 540 to S. 1122 (Department of Defense Appropriations Act, 2000)","1/2","Amendment Agreed to","Grassley Amendment No. 540","On the Amendment","s155-106.1999"
"amendment",156,"On the Amendment S.Amdt. 584 to S. 1122 (Department of Defense Appropriations Act, 2000)","1/2","Amendment Rejected","McCain Amendment No. 584","On the Amendment","s156-106.1999"
"procedural",157,"On the Motion to Table S.Amdt. 541 to S. 1122 (Department of Defense Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to table Boxer Amdt. No. 541","On the Motion to Table S.Amdt. 541 to S. 1122 (Department of Defense Appropriations Act, 2000)","s157-106.1999"
"passage",158,"On Passage of the Bill S. 1122","1/2","Bill Passed","S.1122, as amended","On Passage of the Bill","s158-106.1999"
"procedural",159,"On the Motion to Table S.Amdt. 610 to S.Amdt. 608 to S. 96 (Y2K Act)","1/2","Motion to Table Agreed to","Motion to Table Kerry Amdt. No. 610","On the Motion to Table S.Amdt. 610 to S.Amdt. 608 to S. 96 (Y2K Act)","s159-106.1999"
"procedural",16,"On the Motion (Lott motion to close the doors.)","1/2","Motion Agreed to","Lott motion to close the doors.","On the Motion (Lott motion to close the doors.)","s16-106.1999"
"amendment",160,"On the Amendment S.Amdt. 611 to S.Amdt. 608 to S. 96 (Y2K Act)","1/2","Amendment Rejected","Leahy Amdt. No. 6111","On the Amendment","s160-106.1999"
"amendment",161,"On the Amendment S.Amdt. 619 to S.Amdt. 608 to S. 96 (Y2K Act)","1/2","Amendment Rejected","Edwards Amendment No. 619","On the Amendment","s161-106.1999"
"amendment",162,"On the Amendment S.Amdt. 620 to S.Amdt. 608 to S. 96 (Y2K Act)","1/2","Amendment Rejected","Edwards Amendment No. 620","On the Amendment","s162-106.1999"
"procedural",163,"On the Motion to Table S.Amdt. 621 to S.Amdt. 608 to S. 96 (Y2K Act)","1/2","Motion to Table Agreed to","Motion to Table Boxer Amdt. No.621, as Modified","On the Motion to Table S.Amdt. 621 to S.Amdt. 608 to S. 96 (Y2K Act)","s163-106.1999"
"amendment",164,"On the Amendment S.Amdt. 624 to S.Amdt. 608 to S. 96 (Y2K Act)","1/2","Amendment Agreed to","Gregg Amendment No. 624 as Modified","On the Amendment","s164-106.1999"
"passage",165,"On Passage of the Bill H.R. 775","1/2","Bill Passed","H.R.775 as Amended","On Passage of the Bill","s165-106.1999"
"cloture",166,"Motion to Invoke Cloture on Amdt. No 297 to S.557","3/5","Cloture Motion Rejected","On the Cloture Motion S.Amdt. 297 to S.Amdt. 296 to S. 557 (No short title on file)","On the Cloture Motion","s166-106.1999"
"cloture",167,"Motion to Invoke Cloture on Motion to Proceed to H.R.1664","3/5","Cloture Motion Agreed to","On the Cloture Motion H.R. 1664","On the Cloture Motion","s167-106.1999"
"passage",168,"On Passage of the Bill S. 1205","1/2","Bill Passed","S.1205","On Passage of the Bill","s168-106.1999"
"passage",169,"On Passage of the Bill S. 331","1/2","Bill Passed","S.331 as Amended","On Passage of the Bill","s169-106.1999"
"conviction",17,"Guilty or Not Guilty H.Res. 611","2/3","Not Guilty","Art I, Articles of Impeachment v. President W. J. Clinton","Guilty or Not Guilty H.Res. 611","s17-106.1999"
"cloture",170,"Motion to Invoke Cloture on H.R.1259","3/5","Cloture Motion Rejected","On the Cloture Motion H.R. 1259","On the Cloture Motion","s170-106.1999"
"procedural",171,"On the Motion (Motion to Table the Decision of the Chair Re: Motion to Recommit)","1/2","Motion Agreed to","Motion to Table the Decision of the Chair Re: Motion to Recommit","On the Motion to Table the Decision of the Chair Re: Motion to Recommit","s171-106.1999"
"passage",172,"On Passage of the Bill S. 1186","1/2","Bill Passed","S.1186 as Amended","On Passage of the Bill","s172-106.1999"
"passage",173,"On Passage of the Bill H.R. 1905","1/2","Bill Passed","H.R.1905 as Modified","On Passage of the Bill","s173-106.1999"
"procedural",174,"On the Motion to Table S.Amdt. 685 to H.R. 1664 (Kosovo and Southwest Asia Emergency Supplemental Appropriations Act, 1999)","1/2","Motion to Table Agreed to","Motion to Table McCain Amdt. No. 685","On the Motion to Table S.Amdt. 685 to H.R. 1664 (Kosovo and Southwest Asia Emergency Supplemental Appropriations Act, 1999)","s174-106.1999"
"procedural",175,"On the Motion to Table S.Amdt. 686 to H.R. 1664 (Kosovo and Southwest Asia Emergency Supplemental Appropriations Act, 1999)","1/2","Motion to Table Agreed to","Motion to Table Murkowski Amdt. No. 686","On the Motion to Table S.Amdt. 686 to H.R. 1664 (Kosovo and Southwest Asia Emergency Supplemental Appropriations Act, 1999)","s175-106.1999"
"passage",176,"On Passage of the Bill H.R. 1664","1/2","Bill Passed","H.R.1664 as Amended","On Passage of the Bill","s176-106.1999"
"amendment",177,"On the Amendment S.Amdt. 689 to S. 886 (United Nations Reform Act of 1999)","1/2","Amendment Agreed to","Sarbanes Amdt. No. 689 as modified","On the Amendment","s177-106.1999"
"cloture",178,"Motion to Invoke Cloture on Motion to Proceed to H.R. 975","3/5","Cloture on the Motion to Proceed Rejected","On Cloture on the Motion to Proceed H.R. 975","On the Cloture Motion","s178-106.1999"
"amendment",179,"On the Amendment S.Amdt. 692 to S. 886 (United Nations Reform Act of 1999)","1/2","Amendment Rejected","Feingold Amdt. No. 692","On the Amendment","s179-106.1999"
"conviction",18,"Guilty or Not Guilty H.Res. 611","2/3","Not Guilty","Art II, Articles of Impeachment v. President W. J. Clinton","Guilty or Not Guilty H.Res. 611","s18-106.1999"
"passage",180,"On Passage of the Bill S. 886","1/2","Bill Passed","S. 886, As Amended","On Passage of the Bill","s180-106.1999"
"procedural",181,"On the Motion to Table S.Amdt. 703 to S.Amdt. 702 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Failed","Motion to Table Lott Amdt. No. 703","On the Motion to Table S.Amdt. 703 to S.Amdt. 702 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","s181-106.1999"
"procedural",182,"On the Motion to Table S.Amdt. 702 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Daschle Amdt. No. 702","On the Motion to Table S.Amdt. 702 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","s182-106.1999"
"procedural",183,"On the Motion for Attendance S. 1233","1/2","Motion for Attendance Agreed to","Motion to Instruct Sgt-At-Arms","On the Motion for Attendance S. 1233","s183-106.1999"
"cloture",184,"Motion to Invoke Cloture on S. 1233","3/5","Cloture Motion Rejected","On the Cloture Motion S. 1233","On the Cloture Motion","s184-106.1999"
"cloture",185,"Motion to Invoke Cloture on Motion to Proceed to Consider S. 1143","3/5","Cloture Motion Rejected","On the Cloture Motion S. 1143","On the Cloture Motion","s185-106.1999"
"cloture",186,"Motion to Invoke Cloture on Motion to Proceed to Consider S. 1217","3/5","Cloture Motion Rejected","On the Cloture Motion S. 1217","On the Cloture Motion","s186-106.1999"
"cloture",187,"Motion to Invoke Cloture on Motion to Proceed to Consider S. 1234","3/5","Cloture Motion Rejected","On the Cloture Motion S. 1234","On the Cloture Motion","s187-106.1999"
"amendment",188,"On the Amendment S.Amdt. 1179 to S. 1234 (Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2000)","1/2","Amendment Agreed to","LEAHY AMDT. NO. 1179","On the Amendment","s188-106.1999"
"procedural",189,"On the Motion to Table S.Amdt. 1157 to S. 1234 (Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Dodd Amdt. No. 1157","On the Motion to Table S.Amdt. 1157 to S. 1234 (Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2000)","s189-106.1999"
"procedural",19,"On the Motion (Gramm Motion to Postpone)","3/5","Motion Rejected","Gramm Motion to Postpone","On the Motion (Gramm Motion to Postpone)","s19-106.1999"
"nomination",190,"On the Nomination PN129 and PN130 and PN46 and PN38 and PN37: Keith P. Ellison, of Texas, to be United States District Judge for the Southern District of Texas","1/2","Nomination Confirmed","Nominations Confirmed: Ellison;Feess;Underhill;Pepper;Schreier","On the Nomination","s190-106.1999"
"amendment",191,"On the Amendment S.Amdt. 1119 to S.Amdt. 1118 to S. 1234 (Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2000)","1/2","Amendment Agreed to","McConnell Amdt. No. 1119","On the Amendment","s191-106.1999"
"passage",192,"On Passage of the Bill S. 1234","1/2","Bill Passed","S. 1234, As Amended","On Passage of the Bill","s192-106.1999"
"cloture",193,"Cloture Motion on the Motion to Proceed to S.557","1/2","Cloture Motion Agreed to","On the Cloture Motion S. 557","On the Cloture Motion","s193-106.1999"
"procedural",194,"On the Motion to Table S.Amdt. 1214 to S. 1282 (Federal Employees Child Care Act)","1/2","Motion to Table Agreed to","Motion to Table Lautenberg Amdt. No. 1214","On the Motion to Table S.Amdt. 1214 to S. 1282 (Federal Employees Child Care Act)","s194-106.1999"
"nomination",195,"On the Nomination PN341: Lawrence H. Summers, of Maryland, to be Secretary of the Treasury","1/2","Nomination Confirmed","Nomination: Lawrence H. Summers to be Secretary of the Treasury","On the Nomination","s195-106.1999"
"passage",196,"On the Conference Report H.R. 775","1/2","Conference Report Agreed to","Conference Report to Accompany H.R. 775","On the Conference Report","s196-106.1999"
"procedural",197,"On the Motion to Table S.Amdt. 1200 to S. 1282 (Federal Employees Child Care Act)","1/2","Motion to Table Failed","Motion to Table DeWine Amdt. No. 1200","On the Motion to Table S.Amdt. 1200 to S. 1282 (Federal Employees Child Care Act)","s197-106.1999"
"amendment",198,"On the Amendment S.Amdt. 1237 to S.Amdt. 1236 to S. 1344 (Patients' Bill of Rights Plus Act)","1/2","Amendment Rejected","Robb Amendment No. 1237","On the Amendment","s198-106.1999"
"amendment",199,"On the Amendment S.Amdt. 1238 to S.Amdt. 1236 to S. 1344 (Patients' Bill of Rights Plus Act)","1/2","Amendment Agreed to","Frist Amendment No. 1238","On the Amendment","s199-106.1999"
"procedural",2,"On the Motion (Harkin motion to suspend the rules)","2/3","Motion Rejected","Harkin motion to suspend the rules","On the Motion (Harkin motion to suspend the rules)","s2-106.1999"
"amendment",20,"On the Amendment S.Amdt. 9 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)","1/2","Amendment Agreed to","Crapo Amdt. No. 9","On the Amendment","s20-106.1999"
"amendment",200,"On the Amendment S.Amdt. 1236 to S. 1344 (Patients' Bill of Rights Plus Act)","1/2","Amendment Agreed to","Nickles Amendment No. 1236 as amended","On the Amendment","s200-106.1999"
"amendment",201,"On the Amendment S.Amdt. 1235 to S.Amdt. 1233 to S.Amdt. 1232 to S. 1344","1/2","Amendment Rejected","Graham Amendment No. 1235","On the Amendment","s201-106.1999"
"amendment",202,"On the Amendment S.Amdt. 1234 to S.Amdt. 1233 to S.Amdt. 1232 to S. 1344","1/2","Amendment Agreed to","Santorum Amendment No. 1234","On the Amendment","s202-106.1999"
"amendment",203,"On the Amendment S.Amdt. 1241 to S.Amdt. 1239 to S.Amdt. 1232 to S. 1344","1/2","Amendment Agreed to","Snowe Amdt. No. 1241","On the Amendment","s203-106.1999"
"amendment",204,"On the Amendment S.Amdt. 1242 to S.Amdt. 1239 to S.Amdt. 1232 to S. 1344","1/2","Amendment Rejected","Kennedy Amdt. No. 1242","On the Amendment","s204-106.1999"
"amendment",205,"On the Amendment S.Amdt. 1245 to S.Amdt. 1243 to S. 1344 (Patients' Bill of Rights Plus Act)","1/2","Amendment Rejected","Bingaman Amdt. No. 1245","On the Amendment","s205-106.1999"
"amendment",206,"On the Amendment S.Amdt. 1250 to S.Amdt. 1243 to S. 1344 (Patients' Bill of Rights Plus Act)","1/2","Amendment Agreed to","Gregg Amendment No. 1250","On the Amendment","s206-106.1999"
"amendment",207,"On the Amendment S.Amdt. 1243 to S. 1344 (Patients' Bill of Rights Plus Act)","1/2","Amendment Agreed to","Collins Amendment No. 1243, as amended.","On the Amendment","s207-106.1999"
"amendment",208,"On the Amendment S.Amdt. 1252 to S.Amdt. 1251 to S.Amdt. 1232 to S. 1344","1/2","Amendment Agreed to","Ashcroft Amendment No. 1252","On the Amendment","s208-106.1999"
"amendment",209,"On the Amendment S.Amdt. 1253 to S.Amdt. 1251 to S.Amdt. 1232 to S. 1344","1/2","Amendment Rejected","Kerrey Amendment No. 1253","On the Amendment","s209-106.1999"
"amendment",21,"On the Amendment S.Amdt. 18 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)","1/2","Amendment Agreed to","Hutchison Amdt. No. 18","On the Amendment","s21-106.1999"
"passage",210,"On Passage of the Bill S. 1344","1/2","Bill Passed","S.1344 as amended.","On Passage of the Bill","s210-106.1999"
"cloture",211,"Cloture Motion RE: Lott Amdt. No. 297","3/5","Cloture Motion Rejected","On the Cloture Motion S.Amdt. 297 to S.Amdt. 296 to S. 557 (No short title on file)","On the Cloture Motion","s211-106.1999"
"cloture",212,"Motion to Invoke Cloture on Motion to Proceed to H.R. 1555","3/5","Cloture Motion Agreed to","On the Cloture Motion H.R. 1555","On the Cloture Motion","s212-106.1999"
"procedural",213,"On the Motion to Discharge S.J.Res. 27","1/2","Motion to Discharge Rejected","Motion to Discharge S.J.Res.27","On the Motion to Discharge S.J.Res. 27","s213-106.1999"
"procedural",214,"On the Motion to Discharge S.J.Res. 28","1/2","Motion to Discharge Rejected","Motion to Discharge S.J.Res.28","On the Motion to Discharge S.J.Res. 28","s214-106.1999"
"amendment",215,"On the Amendment S.Amdt. 1261 to S.Amdt. 1258 to H.R. 1555 (Foreign Narcotics Kingpin Designation Act)","1/2","Amendment Rejected","Levin Amendment No. 1261","On the Amendment","s215-106.1999"
"amendment",216,"On the Amendment S.Amdt. 1258 to H.R. 1555 (Foreign Narcotics Kingpin Designation Act)","1/2","Amendment Agreed to","Kyl Amendment No. 1258, as amended.","On the Amendment","s216-106.1999"
"amendment",217,"On the Amendment S.Amdt. 1302 to S. 1217 (Hate Crimes Prevention Act of 1999)","1/2","Amendment Rejected","Lautenberg Amdt. No. 1302","On the Amendment","s217-106.1999"
"procedural",218,"On the Motion to Table S.Amdt. 1301 to S. 1217 (Hate Crimes Prevention Act of 1999)","1/2","Motion to Table Failed","Motion to Table Enzi Amdt. No. 1301","On the Motion to Table S.Amdt. 1301 to S. 1217 (Hate Crimes Prevention Act of 1999)","s218-106.1999"
