title,link
lab11,https://datascience4psych.github.io/DataScience4Psych/lab11.html
lab8b,https://datascience4psych.github.io/DataScience4Psych/lab8b.html
labmoney,https://datascience4psych.github.io/DataScience4Psych/labmoney.html
languageofmodels,https://datascience4psych.github.io/DataScience4Psych/language-of-models.html
learninggoals1,https://datascience4psych.github.io/DataScience4Psych/learning-goals-1.html
learninggoals2,https://datascience4psych.github.io/DataScience4Psych/learning-goals-2.html
learninggoals,https://datascience4psych.github.io/DataScience4Psych/learning-goals.html
lesson2rmdcreation,https://datascience4psych.github.io/DataScience4Psych/lesson-2-rmd-creation.html
lesson3basicsyntax,https://datascience4psych.github.io/DataScience4Psych/lesson-3-basic-syntax.html
lesson4yamlheaders,https://datascience4psych.github.io/DataScience4Psych/lesson-4-yaml-headers.html
lesson5codechunksandinlinecode,https://datascience4psych.github.io/DataScience4Psych/lesson-5-code-chunks-and-inline-code.html
lesson6childdocuments,https://datascience4psych.github.io/DataScience4Psych/lesson-6-child-documents.html
lesson7parameterizedreports,https://datascience4psych.github.io/DataScience4Psych/lesson-7-parameterized-reports.html
license,https://datascience4psych.github.io/DataScience4Psych/license.html
majorattributions,https://datascience4psych.github.io/DataScience4Psych/major-attributions.html
masks,https://datascience4psych.github.io/DataScience4Psych/masks.html
masonnotes,https://datascience4psych.github.io/DataScience4Psych/mason-notes.html
mediawithoutahomeyet,https://datascience4psych.github.io/DataScience4Psych/media-without-a-home-yet.html
meetourtoolbox,https://datascience4psych.github.io/DataScience4Psych/meet-our-toolbox.html
merges,https://datascience4psych.github.io/DataScience4Psych/merges.html
mod06,https://datascience4psych.github.io/DataScience4Psych/mod06.html
modelingnonlinearrelationships,https://datascience4psych.github.io/DataScience4Psych/modeling-non-linear-relationships.html
modelingwithmultiplepredictors,https://datascience4psych.github.io/DataScience4Psych/modeling-with-multiple-predictors.html
moreuglycharts,https://datascience4psych.github.io/DataScience4Psych/more-ugly-charts.html
naturallanguageprocessing,https://datascience4psych.github.io/DataScience4Psych/natural-language-processing.html
neuralnetworks,https://datascience4psych.github.io/DataScience4Psych/neural-networks.html
notesonfeatureengineering,https://datascience4psych.github.io/DataScience4Psych/notes-on-feature-engineering.html
notesonhypothesistesting,https://datascience4psych.github.io/DataScience4Psych/notes-on-hypothesis-testing.html
notesonlogisticregression,https://datascience4psych.github.io/DataScience4Psych/notes-on-logistic-regression.html
odddesignchoicesindatavisualization,https://datascience4psych.github.io/DataScience4Psych/odd-design-choices-in-data-visualization.html
oddnotesoncrossvalidation,https://datascience4psych.github.io/DataScience4Psych/odd-notes-on-cross-validation.html
oddtransformationsdata,https://datascience4psych.github.io/DataScience4Psych/odd-transformations-data.html
overfitting,https://datascience4psych.github.io/DataScience4Psych/overfitting.html
packages10,https://datascience4psych.github.io/DataScience4Psych/packages-10.html
packages5,https://datascience4psych.github.io/DataScience4Psych/packages-5.html
parameterizedreports,https://datascience4psych.github.io/DataScience4Psych/parameterized-reports.html
plotsbehavingbadly,https://datascience4psych.github.io/DataScience4Psych/plots-behaving-badly.html
practicaladvicefromthedataprofessor,https://datascience4psych.github.io/DataScience4Psych/practical-advice-from-the-data-professor.html
professorattractivenessandcourseevaluationspt2,https://datascience4psych.github.io/DataScience4Psych/professor-attractiveness-and-course-evaluations-pt.-2.html
publichealth,https://datascience4psych.github.io/DataScience4Psych/public-health.html
quantifyinguncertainty,https://datascience4psych.github.io/DataScience4Psych/quantifying-uncertainty.html
rcommands,https://datascience4psych.github.io/DataScience4Psych/r-commands.html
rprojectdevelopment,https://datascience4psych.github.io/DataScience4Psych/r-project-development.html
rprojectworkflow,https://datascience4psych.github.io/DataScience4Psych/r-project-workflow.html
rscriptsvsrmarkdowndocuments,https://datascience4psych.github.io/DataScience4Psych/r-scripts-vs.-r-markdown-documents.html
rworkflow,https://datascience4psych.github.io/DataScience4Psych/r-workflow.html
r_basics,https://datascience4psych.github.io/DataScience4Psych/r_basics.html
references,https://datascience4psych.github.io/DataScience4Psych/references.html
repeatedlysimulatedatawithreplicate,https://datascience4psych.github.io/DataScience4Psych/repeatedly-simulate-data-with-replicate.html
rmdcreation,https://datascience4psych.github.io/DataScience4Psych/rmd-creation.html
rshinyoverview,https://datascience4psych.github.io/DataScience4Psych/rshiny-overview.html
rshiny,https://datascience4psych.github.io/DataScience4Psych/rshiny.html
savefigs,https://datascience4psych.github.io/DataScience4Psych/save-figs.html
scientificstudiesandconfounding,https://datascience4psych.github.io/DataScience4Psych/scientific-studies-and-confounding.html
scrapingtheweb,https://datascience4psych.github.io/DataScience4Psych/scraping-the-web.html
secrets,https://datascience4psych.github.io/DataScience4Psych/secrets.html
selectorgadget,https://datascience4psych.github.io/DataScience4Psych/selectorgadget.html
shinyoverview,https://datascience4psych.github.io/DataScience4Psych/shiny-overview.html
shinyresources,https://datascience4psych.github.io/DataScience4Psych/shiny-resources.html
shorthappygit,https://datascience4psych.github.io/DataScience4Psych/shorthappygit.html
sitemap,https://datascience4psych.github.io/DataScience4Psych/sitemap.html
societyandai,https://datascience4psych.github.io/DataScience4Psych/society-and-ai.html
specialtopicsmachinelearn,https://datascience4psych.github.io/DataScience4Psych/special-topics-machine-learn.html
starwarsactivity,https://datascience4psych.github.io/DataScience4Psych/star-wars-activity.html
stretchpracticewithsmokersinwhickham,https://datascience4psych.github.io/DataScience4Psych/stretch-practice-with-smokers-in-whickham.html
takeasadplotandmakeitbetter,https://datascience4psych.github.io/DataScience4Psych/take-a-sad-plot-and-make-it-better.html
thedata1,https://datascience4psych.github.io/DataScience4Psych/the-data-1.html
thedata3,https://datascience4psych.github.io/DataScience4Psych/the-data-3.html
thedata4,https://datascience4psych.github.io/DataScience4Psych/the-data-4.html
thedata,https://datascience4psych.github.io/DataScience4Psych/the-data.html
thoughtfulworkflow,https://datascience4psych.github.io/DataScience4Psych/thoughtful-workflow.html
thoughtsfromhadleywickhamontidyverse,https://datascience4psych.github.io/DataScience4Psych/thoughts-from-hadley-wickham-on-tidyverse.html
tidydata,https://datascience4psych.github.io/DataScience4Psych/tidy-data.html
visualizationexamples,https://datascience4psych.github.io/DataScience4Psych/visualization-examples.html
visualizingcategoricaldata,https://datascience4psych.github.io/DataScience4Psych/visualizing-categorical-data.html
visualizingdatawithggplot2,https://datascience4psych.github.io/DataScience4Psych/visualizing-data-with-ggplot2.html
visualizingnumericaldata,https://datascience4psych.github.io/DataScience4Psych/visualizing-numerical-data.html
warmup1,https://datascience4psych.github.io/DataScience4Psych/warm-up-1.html
warmup4,https://datascience4psych.github.io/DataScience4Psych/warm-up-4.html
warmup6,https://datascience4psych.github.io/DataScience4Psych/warm-up-6.html
warmup7,https://datascience4psych.github.io/DataScience4Psych/warm-up-7.html
warmup,https://datascience4psych.github.io/DataScience4Psych/warm-up.html
welcometoamarkdowncrashcourse,https://datascience4psych.github.io/DataScience4Psych/welcome-to-a-markdown-crashcourse.html
welcometodataandethics,https://datascience4psych.github.io/DataScience4Psych/welcome-to-data-and-ethics.html
welcometodataandvisualization,https://datascience4psych.github.io/DataScience4Psych/welcome-to-data-and-visualization.html
welcometodatadivingwithtypes,https://datascience4psych.github.io/DataScience4Psych/welcome-to-data-diving-with-types.html
welcometodatascience,https://datascience4psych.github.io/DataScience4Psych/welcome-to-data-science.html
welcometofunctionsandautomation,https://datascience4psych.github.io/DataScience4Psych/welcome-to-functions-and-automation.html
welcometomodelingthetidyway,https://datascience4psych.github.io/DataScience4Psych/welcome-to-modeling-the-tidy-way.html
welcometooverfittingandcrossvalidation,https://datascience4psych.github.io/DataScience4Psych/welcome-to-overfitting-and-cross-validation.html
welcometoquantifyinguncertainty,https://datascience4psych.github.io/DataScience4Psych/welcome-to-quantifying-uncertainty.html
welcometosimulatingdata,https://datascience4psych.github.io/DataScience4Psych/welcome-to-simulating-data.html
welcometothetidyverse,https://datascience4psych.github.io/DataScience4Psych/welcome-to-the-tidyverse.html
welcometotipsforeffectivedatavisualization,https://datascience4psych.github.io/DataScience4Psych/welcome-to-tips-for-effective-data-visualization.html
welcometowebscraping,https://datascience4psych.github.io/DataScience4Psych/welcome-to-web-scraping.html
whatisdatascience,https://datascience4psych.github.io/DataScience4Psych/what-is-data-science.html
whatsthenextstep,https://datascience4psych.github.io/DataScience4Psych/whats-the-next-step.html
workingwithmultipledataframes,https://datascience4psych.github.io/DataScience4Psych/working-with-multiple-data-frames.html
wrappingup1,https://datascience4psych.github.io/DataScience4Psych/wrapping-up-1.html
wrappingup,https://datascience4psych.github.io/DataScience4Psych/wrapping-up.html
d00_aps,https://datascience4psych.github.io/slides/d00_APS/d00_aps.html
d00_teaser,https://datascience4psych.github.io/slides/d00_APS/d00_teaser.html
d01_welcome,https://datascience4psych.github.io/slides/d01_welcome/d01_welcome.html
d02_toolkit,https://datascience4psych.github.io/slides/d02_toolkit/d02_toolkit.html
d03_dataviz,https://datascience4psych.github.io/slides/d03_dataviz/d03_dataviz.html
d04_ggplot2,https://datascience4psych.github.io/slides/d04_ggplot2/d04_ggplot2.html
d05_viznum,https://datascience4psych.github.io/slides/d05_viznum/d05_viznum.html
d06_vizcat,https://datascience4psych.github.io/slides/d06_vizcat/d06_vizcat.html
d07_tidy,https://datascience4psych.github.io/slides/d07_tidy/d07_tidy.html
d08_grammar,https://datascience4psych.github.io/slides/d08_grammar/d08_grammar.html
d09_wrangle,https://datascience4psych.github.io/slides/d09_wrangle/d09_wrangle.html
d10_dfs,https://datascience4psych.github.io/slides/d10_dfs/d10_dfs.html
d11_types,https://datascience4psych.github.io/slides/d11_types/d11_types.html
d12_import,https://datascience4psych.github.io/slides/d12_import/d12_import.html
d13_goodviz,https://datascience4psych.github.io/slides/d13_goodviz/d13_goodviz.html
d13b_moreggplot,https://datascience4psych.github.io/slides/d13_goodviz/d13b_moreggplot.html
d14_confound,https://datascience4psych.github.io/slides/d14_confound/d14_confound.html
d15_goodtalk,https://datascience4psych.github.io/slides/d15_goodtalk/d15_goodtalk.html
d16_webscraping,https://datascience4psych.github.io/slides/d16_webscraping/d16_webscraping.html
d17_functions,https://datascience4psych.github.io/slides/d17_functions/d17_functions.html
d18_ethics,https://datascience4psych.github.io/slides/d18_ethics/d18_ethics.html
d19_bias,https://datascience4psych.github.io/slides/d19_bias/d19_bias.html
d20_language,https://datascience4psych.github.io/slides/d20_language/d20_language.html
d21_fitting,https://datascience4psych.github.io/slides/d21_fitting/d21_fitting.html
d22_nonlinear,https://datascience4psych.github.io/slides/d22_nonlinear/d22_nonlinear.html
d23_multiple,https://datascience4psych.github.io/slides/d23_multiple/d23_multiple.html
widget_plotlyplot,https://datascience4psych.github.io/slides/d23_multiple/d23_multiple_files/figure-html/widgets/widget_plotly-plot.html
d24_overfitting,https://datascience4psych.github.io/slides/d24_overfitting/d24_overfitting.html
d25_crossvalidation,https://datascience4psych.github.io/slides/d25_crossvalidation/d25_crossvalidation.html
d26_quantify,https://datascience4psych.github.io/slides/d26_quantify/d26_quantify.html
d27_bootstrap,https://datascience4psych.github.io/slides/d27_bootstrap/d27_bootstrap.html
d28_interactive,https://datascience4psych.github.io/slides/d28_interactive/d28_interactive.html
index,https://datascience4psych.github.io/slides/index.html
setup,https://datascience4psych.github.io/slides/setup.html
